county,population,region
Greater London,"8,901,000",London
West Midlands,"2,910,000",West Midlands
Greater Manchester,"2,824,000",North West
West Yorkshire,"2,314,000",Yorkshire and the Humber
Hampshire,"1,852,000",South East
Kent,"1,845,000",South East
Essex,"1,825,000",East of England
Lancashire,"1,505,000",North West
Merseyside,"1,496,000",North West
South Yorkshire,"1,396,000",Yorkshire and the Humber
Surrey,"1,195,000",South East
Devon,"1,186,000",South West
Hertfordshire,"1,174,000",East of England
Nottinghamshire,"1,167,000",East Midlands
North Yorkshire,"1,164,000",Yorkshire and the Humber
,,North East
Tyne & Wear,"1,128,000",North East
Staffordshire,"1,125,000",West Midlands
Lincolnshire,"1,079,000",East Midlands
Cheshire,"1,064,000",North West
Derbyshire,"1,060,000",East Midlands
Leicestershire,"1,058,000",East Midlands
Somerset,"983,000",South West
Berkshire,"916,000",South East
Gloucestershire,"907,000",South West
Norfolk,"894,000",East of England
County Durham,"860,000",North East
West Sussex,"863,000",South East
Cambridgeshire,"846,000",East of England
East Sussex,"843,000",South East
Buckinghamshire,"800,000",South East
Suffolk,"767,000",East of England
Dorset,"764,000",South West
Northamptonshire,"741,000",East Midlands
Wiltshire,"713,000",South West
Oxfordshire,"695,000",South East
Bedfordshire,"653,000",East of England
East Riding of Yorkshire,"594,000",Yorkshire and the Humber
Worcestershire,"590,000",West Midlands
Warwickshire,"581,000",West Midlands
Cornwall,"564,000",South West
Cumbria,"501,000",North West
Shropshire,"492,000",West Midlands
Bristol,"470,000",South West
Northumberland,"314,000",North East
Herefordshire,"203,000",West Midlands
Isle of Wight,"130,000",South East
Rutland,"42,000",East Midlands
